Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2011-04-29,2011,163,Sollentuna,50,0.005,4,29,26.2,5.0
2011-04-29,2011,821,Högsby,3000,0.3,4,29,28.014285714285712,5.571428571428571
2011-04-29,2011,180,Stockholm,2,0.0002,4,29,29.35,5.5
2011-04-30,2011,1401,Härryda,900,0.09,4,30,19.400000000000002,4.0
2011-04-30,2011,1488,Trollhättan,1,0.0001,4,30,18.55,4.0
2011-04-30,2011,1380,Halmstad,3000,0.3,4,30,22.69,4.7
2011-04-30,2011,380,Uppsala,1,0.0001,4,30,21.126315789473683,4.368421052631579
2011-04-30,2011,1490,Borås,1,0.0001,4,30,19.288888888888888,4.0
2011-04-30,2011,1402,Partille,500,0.05,4,30,19.3,4.0
2011-04-30,2011,1481,Mölndal,2,0.0002,4,30,18.75,4.0
2011-05-01,2011,1980,Västerås,1,0.0001,5,1,19.022222222222222,4.222222222222222
2011-05-01,2011,1980,Västerås,30,0.003,5,1,19.022222222222222,4.222222222222222
2011-05-01,2011,1402,Partille,1,0.0001,5,1,29.4,6.0
2011-05-06,2011,1060,Olofström,100,0.01,5,6,20.400000000000002,4.0
2011-05-06,2011,763,Tingsryd,2000,0.2,5,6,22.009999999999998,4.5
2011-05-08,2011,1907,Surahammar,5,0.0005,5,8,27.2,5.333333333333333
2011-05-08,2011,1380,Halmstad,15000,1.5,5,8,31.04,5.8
2011-05-08,2011,821,Högsby,250,0.025,5,8,22.571428571428573,4.714285714285714
2011-05-08,2011,680,Jönköping,100,0.01,5,8,21.12857142857143,4.428571428571429
2011-05-08,2011,1880,Örebro,30,0.003,5,8,23.728571428571428,4.714285714285714
2011-05-10,2011,381,Enköping,200,0.02,5,10,26.655555555555555,5.333333333333333
2011-05-10,2011,1283,Helsingborg,1,0.0001,5,10,25.0,5.0
2011-05-11,2011,180,Stockholm,2,0.0002,5,11,35.3,6.0
2011-05-12,2011,562,Finspång,100,0.01,5,12,21.4,4.444444444444445
2011-05-12,2011,180,Stockholm,1,0.0001,5,12,26.3,5.5
2011-05-21,2011,821,Högsby,3200,0.32,5,21,25.571428571428573,5.0
2011-05-21,2011,586,Mjölby,1,0.0001,5,21,20.86,4.0
2011-05-21,2011,860,Hultsfred,100,0.01,5,21,28.55,5.7
2011-05-21,2011,861,Mönsterås,10,0.001,5,21,20.966666666666665,4.166666666666667
2011-05-22,2011,1980,Västerås,1,0.0001,5,22,20.77777777777778,4.444444444444445
2011-05-22,2011,380,Uppsala,50,0.005,5,22,28.436842105263157,5.631578947368421
2011-05-22,2011,117,Österåker,15000,1.5,5,22,30.375,6.0
2011-05-22,2011,581,Norrköping,1000,0.1,5,22,26.45,5.0625
2011-05-22,2011,483,Katrineholm,100,0.01,5,22,23.66,4.8
2011-05-31,2011,180,Stockholm,1,0.0001,5,31,26.6,5.0
2011-06-02,2011,180,Stockholm,2,0.0002,6,2,24.25,5.0
2011-06-03,2011,163,Sollentuna,1,0.0001,6,3,17.0,4.0
2011-06-03,2011,461,Gnesta,300,0.03,6,3,20.35,4.25
2011-06-04,2011,581,Norrköping,1,0.0001,6,4,24.55625,4.875
2011-06-04,2011,180,Stockholm,8,0.0008,6,4,39.85,6.0
2011-06-04,2011,180,Stockholm,75,0.0075,6,4,39.85,6.0
2011-06-04,2011,484,Eskilstuna,1,0.0001,6,4,26.741666666666664,5.25
2011-06-04,2011,2180,Gävle,240,0.024,6,4,25.55,5.125
2011-06-05,2011,481,Oxelösund,1,0.0001,6,5,19.9,4.0
2011-06-05,2011,180,Stockholm,2,0.0002,6,5,26.549999999999997,5.0
2011-06-05,2011,180,Stockholm,1,0.0001,6,5,26.549999999999997,5.0
2011-06-05,2011,180,Stockholm,1,0.0001,6,5,26.549999999999997,5.0
2011-06-05,2011,127,Botkyrka,5,0.0005,6,5,18.9,4.0
2011-06-06,2011,139,Upplands-Bro,5,0.0005,6,6,23.633333333333336,5.0
2011-06-06,2011,117,Österåker,5000,0.5,6,6,20.075000000000003,4.25
2011-06-06,2011,687,Tranås,2,0.0002,6,6,35.35,6.0
2011-06-07,2011,381,Enköping,30,0.003,6,7,30.311111111111114,5.777777777777778
2011-06-07,2011,180,Stockholm,15,0.0015,6,7,30.049999999999997,6.0
2011-06-09,2011,163,Sollentuna,1,0.0001,6,9,23.1,5.0
2011-06-09,2011,331,Heby,200,0.02,6,9,21.89090909090909,4.454545454545454
2011-06-10,2011,180,Stockholm,200,0.02,6,10,31.049999999999997,6.0
2011-06-11,2011,180,Stockholm,6,0.0006,6,11,31.0,6.0
2011-06-11,2011,182,Nacka,4,0.0004,6,11,19.4,4.0
2011-06-11,2011,126,Huddinge,1,0.0001,6,11,25.1,5.0
2011-06-12,2011,180,Stockholm,1,0.0001,6,12,30.0,6.0
2011-06-12,2011,180,Stockholm,3,0.0003,6,12,30.0,6.0
2011-06-12,2011,163,Sollentuna,10,0.001,6,12,28.3,6.0
2011-06-12,2011,182,Nacka,2,0.0002,6,12,19.0,4.0
2011-06-13,2011,182,Nacka,2,0.0002,6,13,34.8,6.0
2011-06-29,2011,180,Stockholm,20,0.002,6,29,24.8,5.0
2011-07-08,2011,139,Upplands-Bro,1,0.0001,7,8,18.0,4.0
2011-07-10,2011,180,Stockholm,10,0.001,7,10,22.9,4.5
2011-07-11,2011,180,Stockholm,20,0.002,7,11,18.4,4.0
2011-07-11,2011,180,Stockholm,2,0.0002,7,11,18.4,4.0
2011-07-12,2011,136,Haninge,500,0.05,7,12,20.625,4.5
2011-07-13,2011,180,Stockholm,3,0.0003,7,13,18.700000000000003,4.0
2011-07-14,2011,482,Flen,20,0.002,7,14,23.65,4.75
2011-07-14,2011,486,Strängnäs,1,0.0001,7,14,25.385714285714283,5.0
2011-07-23,2011,2518,Övertorneå,30000,3.0,7,23,20.1037037037037,4.037037037037037
2011-07-28,2011,180,Stockholm,5,0.0005,7,28,20.0,4.0
2011-07-29,2011,191,Sigtuna,1,0.0001,7,29,23.666666666666668,4.666666666666667
2011-07-29,2011,182,Nacka,5,0.0005,7,29,17.6,4.0
2011-07-30,2011,182,Nacka,5,0.0005,7,30,24.7,5.0
2011-07-30,2011,180,Stockholm,1,0.0001,7,30,28.5,5.5
2011-07-31,2011,182,Nacka,20,0.002,7,31,19.4,4.0
2011-08-01,2011,126,Huddinge,60,0.006,8,1,25.5,5.0
2011-08-01,2011,139,Upplands-Bro,20,0.002,8,1,19.03333333333333,4.333333333333333
2011-08-02,2011,182,Nacka,20,0.002,8,2,18.6,4.0
2011-08-03,2011,191,Sigtuna,110,0.011,8,3,24.46666666666667,5.0
2011-08-03,2011,305,Håbo,1000,0.1,8,3,23.4,5.0
2011-08-03,2011,180,Stockholm,1,0.0001,8,3,30.75,6.0
2011-08-04,2011,180,Stockholm,1,0.0001,8,4,35.900000000000006,6.0
2011-08-05,2011,180,Stockholm,2,0.0002,8,5,43.45,6.0
2011-08-05,2011,381,Enköping,2,0.0002,8,5,27.644444444444446,5.555555555555555
2011-08-05,2011,163,Sollentuna,20,0.002,8,5,41.5,6.0
2011-08-05,2011,163,Sollentuna,2,0.0002,8,5,41.5,6.0
2011-08-06,2011,180,Stockholm,1,0.0001,8,6,22.549999999999997,4.5
