Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2005-04-26,2005,1285,Eslöv,1,0.0001,4,26,22.65,4.75
2005-05-15,2005,180,Stockholm,50,0.005,5,15,21.0,4.5
2005-05-15,2005,180,Stockholm,10,0.001,5,15,21.0,4.5
2005-05-15,2005,180,Stockholm,2,0.0002,5,15,21.0,4.5
2005-05-15,2005,127,Botkyrka,10,0.001,5,15,17.7,4.0
2005-05-15,2005,128,Salem,3,0.0003,5,15,19.0,4.0
2005-05-21,2005,127,Botkyrka,200,0.02,5,21,22.7,5.0
2005-05-28,2005,1292,Ängelholm,3,0.0003,5,28,25.2,5.333333333333333
2005-05-29,2005,1277,Åstorp,10,0.001,5,29,17.4,4.0
2005-06-19,2005,180,Stockholm,1,0.0001,6,19,18.299999999999997,4.0
2005-07-04,2005,380,Uppsala,1,0.0001,7,4,21.55263157894737,4.157894736842105
2005-07-05,2005,1460,Bengtsfors,1000,0.1,7,5,23.288888888888888,4.666666666666667
2005-07-05,2005,1442,Vårgårda,500,0.05,7,5,23.1,4.75
2005-07-05,2005,1256,Östra Göinge,50,0.005,7,5,29.04,5.8
2005-07-05,2005,1907,Surahammar,1000,0.1,7,5,24.166666666666668,5.0
2005-07-06,2005,1784,Arvika,500,0.05,7,6,26.05,5.125
2005-07-06,2005,180,Stockholm,1,0.0001,7,6,29.4,5.5
2005-07-06,2005,1765,Årjäng,100,0.01,7,6,26.923529411764704,5.235294117647059
2005-07-06,2005,2281,Sundsvall,6000,0.6,7,6,20.815151515151513,4.181818181818182
2005-07-06,2005,617,Gnosjö,10,0.001,7,6,30.875,6.0
2005-07-06,2005,1460,Bengtsfors,400,0.04,7,6,24.666666666666668,5.111111111111111
2005-07-06,2005,181,Södertälje,10,0.001,7,6,21.759999999999998,4.4
2005-07-06,2005,1492,Åmål,10,0.001,7,6,22.125,4.5
2005-07-08,2005,181,Södertälje,10,0.001,7,8,20.080000000000002,4.0
2005-07-08,2005,1715,Kil,1000,0.1,7,8,19.95,4.0
2005-07-08,2005,1272,Bromölla,125,0.0125,7,8,24.8,5.0
2005-07-09,2005,764,Alvesta,50,0.005,7,9,28.925,5.625
2005-07-10,2005,764,Alvesta,10,0.001,7,10,27.6,5.25
2005-07-10,2005,2104,Hofors,100,0.01,7,10,23.375,4.75
2005-07-10,2005,180,Stockholm,1,0.0001,7,10,34.2,6.0
2005-07-11,2005,1080,Karlskrona,120,0.012,7,11,28.353846153846156,5.0
2005-07-12,2005,180,Stockholm,1,0.0001,7,12,40.3,6.0
2005-07-12,2005,683,Värnamo,500,0.05,7,12,35.31818181818182,6.0
2005-07-12,2005,1904,Skinnskatteberg,1600,0.16,7,12,29.24,5.4
2005-07-12,2005,1060,Olofström,20,0.002,7,12,30.0,6.0
2005-07-12,2005,1784,Arvika,50,0.005,7,12,33.49375,6.0
2005-07-12,2005,2104,Hofors,70,0.007,7,12,24.25,4.75
2005-07-13,2005,1780,Karlstad,10000,1.0,7,13,26.715384615384615,5.230769230769231
2005-07-13,2005,139,Upplands-Bro,10,0.001,7,13,24.599999999999998,5.333333333333333
2005-07-13,2005,2023,Malung,10,0.001,7,13,20.92972972972973,4.243243243243243
2005-07-13,2005,562,Finspång,100,0.01,7,13,33.13333333333333,6.0
2005-07-13,2005,561,Åtvidaberg,20,0.002,7,13,37.93333333333333,6.0
2005-07-13,2005,885,Borgholm,10,0.001,7,13,20.09333333333333,4.066666666666666
2005-07-13,2005,780,Växjö,70,0.007,7,13,38.82142857142857,6.0
2005-07-13,2005,180,Stockholm,2,0.0002,7,13,30.9,6.0
2005-07-14,2005,1783,Hagfors,1200,0.12,7,14,27.427777777777777,5.444444444444445
2005-07-14,2005,1494,Lidköping,1,0.0001,7,14,28.439999999999998,5.6
2005-07-14,2005,1782,Filipstad,15,0.0015,7,14,23.383333333333336,4.916666666666667
2005-07-14,2005,180,Stockholm,10,0.001,7,14,20.75,4.0
2005-07-14,2005,1489,Alingsås,20,0.002,7,14,22.4,4.6
2005-07-14,2005,1495,Skara,2,0.0002,7,14,28.166666666666668,5.666666666666667
2005-09-02,2005,180,Stockholm,2,0.0002,9,2,19.35,4.0
2005-09-20,2005,115,Vallentuna,1,0.0001,9,20,20.625,4.0
2005-09-24,2005,180,Stockholm,5,0.0005,9,24,21.1,4.0
