Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2007-04-16,2007,139,Upplands-Bro,500,0.05,4,16,18.96666666666667,4.333333333333333
2007-04-16,2007,127,Botkyrka,1,0.0001,4,16,21.8,4.0
2007-04-27,2007,180,Stockholm,1,0.0001,4,27,20.9,4.0
2007-04-28,2007,127,Botkyrka,10,0.001,4,28,17.8,4.0
2007-04-29,2007,182,Nacka,3,0.0003,4,29,17.2,4.0
2007-05-03,2007,180,Stockholm,250,0.025,5,3,17.45,4.0
2007-05-03,2007,483,Katrineholm,76000,7.6,5,3,21.029999999999998,4.3
2007-05-05,2007,687,Tranås,150000,15.0,5,5,20.125,4.0
2007-05-06,2007,682,Nässjö,50,0.005,5,6,28.133333333333333,5.555555555555555
2007-05-06,2007,680,Jönköping,1250,0.125,5,6,24.8,4.928571428571429
2007-05-06,2007,1496,Skövde,20000,2.0,5,6,21.814285714285713,4.285714285714286
2007-05-06,2007,182,Nacka,15,0.0015,5,6,28.0,5.0
2007-05-18,2007,126,Huddinge,20,0.002,5,18,26.4,5.0
2007-05-18,2007,180,Stockholm,3,0.0003,5,18,31.650000000000002,6.0
2007-05-26,2007,127,Botkyrka,2,0.0002,5,26,18.3,4.0
2007-05-26,2007,381,Enköping,15000,1.5,5,26,20.77777777777778,4.333333333333333
2007-05-27,2007,163,Sollentuna,10,0.001,5,27,18.7,4.0
2007-06-05,2007,126,Huddinge,150,0.015,6,5,29.4,6.0
2007-06-05,2007,180,Stockholm,12,0.0012,6,5,31.4,6.0
2007-06-05,2007,319,Älvkarleby,10000,1.0,6,5,20.166666666666668,4.0
2007-06-06,2007,180,Stockholm,200,0.02,6,6,26.450000000000003,5.0
2007-06-07,2007,126,Huddinge,40,0.004,6,7,32.1,6.0
2007-06-08,2007,2309,Krokom,700,0.07,6,8,22.006451612903227,4.548387096774194
2007-06-08,2007,2284,Örnsköldsvik,1,0.0001,6,8,24.391803278688528,5.065573770491803
2007-06-08,2007,139,Upplands-Bro,2,0.0002,6,8,34.0,5.0
