Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2006-05-06,2006,1402,Partille,200,0.02,5,6,19.0,4.0
2006-05-07,2006,1266,Hörby,10,0.001,5,7,19.400000000000002,4.0
2006-05-08,2006,180,Stockholm,20,0.002,5,8,20.95,4.5
2006-05-08,2006,1480,Göteborg,20,0.002,5,8,22.3,4.6
2006-05-09,2006,188,Norrtälje,900,0.09,5,9,19.48695652173913,4.130434782608695
2006-05-10,2006,765,Älmhult,3000,0.3,5,10,24.085714285714285,5.0
2006-05-10,2006,682,Nässjö,10,0.001,5,10,19.788888888888888,4.0
2006-05-11,2006,1490,Borås,50,0.005,5,11,20.88888888888889,4.333333333333333
2006-05-14,2006,1480,Göteborg,10,0.001,5,14,21.18,4.2
2006-05-14,2006,1480,Göteborg,4,0.0004,5,14,21.18,4.2
2006-05-14,2006,180,Stockholm,2,0.0002,5,14,23.4,4.5
2006-05-14,2006,1286,Ystad,150000,15.0,5,14,25.814285714285713,5.142857142857143
2006-05-15,2006,127,Botkyrka,2,0.0002,5,15,25.8,5.0
2006-05-15,2006,191,Sigtuna,1,0.0001,5,15,23.900000000000002,5.0
2006-05-16,2006,180,Stockholm,50,0.005,5,16,22.549999999999997,5.0
2006-05-16,2006,163,Sollentuna,20,0.002,5,16,21.1,4.0
2006-05-17,2006,127,Botkyrka,1,0.0001,5,17,22.8,5.0
2006-05-17,2006,180,Stockholm,2,0.0002,5,17,28.35,5.5
2006-05-17,2006,180,Stockholm,5,0.0005,5,17,28.35,5.5
2006-06-11,2006,2034,Orsa,9,0.0009,6,11,21.24375,4.375
2006-06-11,2006,1784,Arvika,3750,0.375,6,11,23.025,4.8125
2006-06-11,2006,140,Nykvarn,250,0.025,6,11,27.0,5.666666666666667
2006-06-12,2006,180,Stockholm,2,0.0002,6,12,24.549999999999997,5.0
2006-06-12,2006,140,Nykvarn,250,0.025,6,12,21.0,4.333333333333333
2006-06-13,2006,180,Stockholm,2,0.0002,6,13,44.0,6.0
2006-06-13,2006,192,Nynäshamn,4,0.0004,6,13,26.720000000000006,5.0
2006-06-13,2006,2305,Bräcke,1,0.0001,6,13,35.061290322580646,6.0
2006-06-13,2006,2031,Rättvik,30,0.003,6,13,35.06470588235294,6.0
2006-06-13,2006,2482,Skellefteå,10000,1.0,6,13,36.77538461538462,5.630769230769231
2006-06-13,2006,136,Haninge,23,0.0023,6,13,22.744444444444447,4.555555555555555
2006-06-13,2006,2326,Berg,15,0.0015,6,13,23.625,4.75
2006-06-14,2006,191,Sigtuna,400,0.04,6,14,21.53333333333333,4.333333333333333
2006-06-14,2006,2482,Skellefteå,10,0.001,6,14,32.347692307692306,5.538461538461538
2006-06-15,2006,486,Strängnäs,100,0.01,6,15,19.24285714285714,4.142857142857143
2006-06-15,2006,180,Stockholm,4,0.0004,6,15,19.25,4.0
2006-06-16,2006,180,Stockholm,2,0.0002,6,16,27.65,5.5
2006-06-16,2006,191,Sigtuna,15000,1.5,6,16,29.266666666666666,6.0
2006-06-16,2006,1730,Eda,10,0.001,6,16,25.454545454545453,5.0
2006-06-17,2006,188,Norrtälje,20000,2.0,6,17,20.786956521739132,4.260869565217392
2006-06-17,2006,182,Nacka,1,0.0001,6,17,29.4,6.0
2006-06-18,2006,126,Huddinge,20,0.002,6,18,26.8,5.0
2006-06-18,2006,127,Botkyrka,20,0.002,6,18,24.0,5.0
2006-06-18,2006,2514,Kalix,9,0.0009,6,18,21.61818181818182,4.409090909090909
2006-06-19,2006,2180,Gävle,10,0.001,6,19,19.98125,4.125
2006-06-19,2006,1480,Göteborg,10,0.001,6,19,23.6,5.0
2006-06-24,2006,115,Vallentuna,4,0.0004,6,24,20.975,4.25
2006-07-01,2006,181,Södertälje,1,0.0001,7,1,17.82,4.0
2006-07-03,2006,1402,Partille,100,0.01,7,3,21.1,4.0
2006-07-04,2006,2282,Kramfors,150,0.015,7,4,29.235000000000003,5.4
2006-07-04,2006,1082,Karlshamn,1,0.0001,7,4,26.55,5.333333333333333
2006-07-04,2006,2482,Skellefteå,2,0.0002,7,4,30.321538461538463,5.6461538461538465
2006-07-05,2006,180,Stockholm,2,0.0002,7,5,34.55,6.0
2006-07-06,2006,2121,Ovanåker,625,0.0625,7,6,20.170588235294115,4.117647058823529
2006-07-07,2006,139,Upplands-Bro,20,0.002,7,7,26.099999999999998,5.0
2006-07-07,2006,180,Stockholm,1,0.0001,7,7,43.400000000000006,6.0
2006-07-08,2006,1962,Norberg,1,0.0001,7,8,24.6,5.0
2006-07-08,2006,381,Enköping,10,0.001,7,8,25.077777777777776,4.888888888888889
2006-07-08,2006,180,Stockholm,1,0.0001,7,8,30.7,5.5
2006-07-09,2006,2182,Söderhamn,2000,0.2,7,9,26.441666666666666,5.25
2006-07-09,2006,2182,Söderhamn,300,0.03,7,9,26.441666666666666,5.25
2006-07-09,2006,188,Norrtälje,4,0.0004,7,9,26.730434782608693,5.260869565217392
2006-07-09,2006,2184,Hudiksvall,30,0.003,7,9,27.744,5.52
2006-07-12,2006,125,Ekerö,2000,0.2,7,12,21.775000000000002,4.25
2006-07-14,2006,562,Finspång,2,0.0002,7,14,22.37777777777778,4.444444444444445
2006-07-15,2006,484,Eskilstuna,1,0.0001,7,15,23.433333333333334,4.583333333333333
2006-07-15,2006,1082,Karlshamn,2,0.0002,7,15,30.55,5.833333333333333
2006-07-15,2006,562,Finspång,20000,2.0,7,15,21.533333333333335,4.444444444444445
2006-07-16,2006,2081,Borlänge,300,0.03,7,16,17.880000000000003,4.0
2006-07-16,2006,881,Nybro,10,0.001,7,16,32.925,6.0
2006-07-16,2006,1780,Karlstad,40,0.004,7,16,19.146153846153847,4.0
2006-07-16,2006,180,Stockholm,10,0.001,7,16,23.7,5.0
2006-07-16,2006,1885,Lindesberg,5,0.0005,7,16,22.099999999999998,4.583333333333333
2006-07-16,2006,1885,Lindesberg,2500,0.25,7,16,22.099999999999998,4.583333333333333
2006-07-17,2006,582,Söderköping,10,0.001,7,17,39.25714285714286,6.0
2006-07-17,2006,2180,Gävle,30,0.003,7,17,32.66875,5.75
2006-07-17,2006,1885,Lindesberg,1000,0.1,7,17,34.016666666666666,6.0
2006-07-17,2006,480,Nyköping,25000,2.5,7,17,33.550000000000004,5.5
2006-07-17,2006,1080,Karlskrona,120,0.012,7,17,33.45384615384615,5.615384615384615
2006-07-17,2006,560,Boxholm,30000,3.0,7,17,44.35,6.0
2006-07-17,2006,2182,Söderhamn,10,0.001,7,17,26.525000000000002,5.25
2006-07-17,2006,1280,Malmö,100,0.01,7,17,25.133333333333336,5.0
2006-07-18,2006,191,Sigtuna,2,0.0002,7,18,26.03333333333333,5.0
2006-07-18,2006,665,Vaggeryd,1,0.0001,7,18,21.3,4.25
2006-07-19,2006,187,Vaxholm,1000,0.1,7,19,29.5,6.0
2006-07-19,2006,780,Växjö,10,0.001,7,19,24.785714285714285,5.0
2006-07-19,2006,1081,Ronneby,4,0.0004,7,19,27.725,5.375
2006-07-19,2006,180,Stockholm,2,0.0002,7,19,30.0,6.0
2006-07-20,2006,821,Högsby,20000,2.0,7,20,35.74285714285714,6.0
2006-07-20,2006,1499,Falköping,2,0.0002,7,20,19.557142857142857,4.142857142857143
2006-07-21,2006,580,Linköping,1,0.0001,7,21,24.433333333333334,4.916666666666667
2006-07-22,2006,484,Eskilstuna,400,0.04,7,22,20.925,4.333333333333333
2006-07-23,2006,2284,Örnsköldsvik,700,0.07,7,23,21.314754098360655,4.360655737704918
2006-07-24,2006,180,Stockholm,1,0.0001,7,24,26.85,5.0
2006-07-24,2006,126,Huddinge,100,0.01,7,24,28.3,6.0
2006-07-24,2006,2184,Hudiksvall,4,0.0004,7,24,19.98,4.2
2006-07-24,2006,1286,Ystad,1,0.0001,7,24,21.842857142857145,4.571428571428571
2006-07-25,2006,180,Stockholm,10,0.001,7,25,27.2,5.5
2006-07-25,2006,2283,Sollefteå,2,0.0002,7,25,23.893181818181816,4.704545454545454
2006-07-25,2006,2282,Kramfors,5,0.0005,7,25,29.439999999999998,5.8
2006-07-25,2006,1081,Ronneby,10,0.001,7,25,24.1375,4.875
2006-07-25,2006,2184,Hudiksvall,10,0.001,7,25,29.908,5.44
