Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2014-04-27,2014,780,Växjö,2,0.0002,4,27,18.457142857142856,4.0
2014-04-27,2014,180,Stockholm,100,0.01,4,27,20.4,4.5
2014-04-28,2014,180,Stockholm,2,0.0002,4,28,29.3,5.5
2014-04-28,2014,2081,Borlänge,200,0.02,4,28,23.8,4.8
2014-04-30,2014,182,Nacka,4,0.0004,4,30,17.3,4.0
2014-05-01,2014,1060,Olofström,225,0.0225,5,1,18.833333333333332,4.0
2014-05-03,2014,617,Gnosjö,300,0.03,5,3,24.75,5.0
2014-05-04,2014,1440,Ale,1,0.0001,5,4,18.3,4.0
2014-05-04,2014,1441,Lerum,20,0.002,5,4,18.75,4.0
2014-05-04,2014,685,Vetlanda,1000,0.1,5,4,20.907692307692308,4.0
2014-05-05,2014,180,Stockholm,1,0.0001,5,5,19.25,4.0
2014-05-18,2014,180,Stockholm,1,0.0001,5,18,19.299999999999997,4.0
2014-05-24,2014,115,Vallentuna,10,0.001,5,24,21.8,4.25
2014-05-25,2014,180,Stockholm,30,0.003,5,25,22.6,4.5
2014-05-25,2014,305,Håbo,40,0.004,5,25,19.85,4.0
2014-05-29,2014,2181,Sandviken,5,0.0005,5,29,23.68,4.7
2014-05-29,2014,581,Norrköping,1,0.0001,5,29,23.1125,4.9375
2014-06-09,2014,127,Botkyrka,40,0.004,6,9,18.8,4.0
2014-06-11,2014,180,Stockholm,300,0.03,6,11,25.65,5.0
2014-06-11,2014,126,Huddinge,2,0.0002,6,11,24.0,5.0
2014-06-14,2014,180,Stockholm,200,0.02,6,14,43.2,6.0
2014-06-14,2014,180,Stockholm,100,0.01,6,14,43.2,6.0
2014-06-14,2014,180,Stockholm,1,0.0001,6,14,43.2,6.0
2014-06-14,2014,181,Södertälje,1,0.0001,6,14,18.84,4.0
2014-06-16,2014,1982,Fagersta,60,0.006,6,16,28.925,6.0
2014-06-16,2014,2034,Orsa,20,0.002,6,16,20.5375,4.25
2014-06-18,2014,125,Ekerö,2,0.0002,6,18,28.65,5.5
2014-06-26,2014,180,Stockholm,1,0.0001,6,26,18.3,4.0
2014-07-07,2014,163,Sollentuna,10,0.001,7,7,19.5,4.0
2014-07-09,2014,562,Finspång,1000,0.1,7,9,20.200000000000003,4.111111111111111
2014-07-11,2014,1256,Östra Göinge,10,0.001,7,11,20.880000000000003,4.0
2014-07-11,2014,480,Nyköping,30,0.003,7,11,19.666666666666668,4.083333333333333
2014-07-12,2014,685,Vetlanda,500,0.05,7,12,18.53846153846154,4.0
2014-07-12,2014,163,Sollentuna,4,0.0004,7,12,26.1,5.0
2014-07-12,2014,182,Nacka,2,0.0002,7,12,23.4,5.0
2014-07-12,2014,182,Nacka,2,0.0002,7,12,23.4,5.0
2014-07-12,2014,1814,Lekeberg,20000,2.0,7,12,21.674999999999997,4.25
2014-07-12,2014,187,Vaxholm,1,0.0001,7,12,23.0,5.0
2014-07-13,2014,182,Nacka,2,0.0002,7,13,17.8,4.0
2014-07-13,2014,2480,Umeå,10,0.001,7,13,20.460714285714285,4.178571428571429
2014-07-13,2014,180,Stockholm,1,0.0001,7,13,22.25,4.5
2014-07-14,2014,305,Håbo,5,0.0005,7,14,19.0,4.0
2014-07-16,2014,482,Flen,2400,0.24,7,16,22.275,4.5
2014-07-16,2014,482,Flen,100,0.01,7,16,22.275,4.5
2014-07-17,2014,180,Stockholm,2,0.0002,7,17,18.95,4.0
2014-07-17,2014,182,Nacka,3,0.0003,7,17,19.2,4.0
2014-07-18,2014,480,Nyköping,15,0.0015,7,18,20.341666666666665,4.25
2014-07-18,2014,180,Stockholm,10,0.001,7,18,23.75,5.0
2014-07-22,2014,1060,Olofström,150,0.015,7,22,20.166666666666668,4.0
2014-07-22,2014,763,Tingsryd,10,0.001,7,22,22.96,4.8
2014-07-22,2014,181,Södertälje,20,0.002,7,22,20.36,4.4
2014-07-22,2014,780,Växjö,3000,0.3,7,22,22.035714285714285,4.428571428571429
2014-07-22,2014,1481,Mölndal,1,0.0001,7,22,17.5,4.0
2014-07-23,2014,181,Södertälje,1000,0.1,7,23,26.560000000000002,5.2
2014-07-23,2014,483,Katrineholm,2,0.0002,7,23,22.169999999999998,4.8
2014-07-24,2014,1290,Kristianstad,10,0.001,7,24,20.338461538461537,4.153846153846154
2014-07-24,2014,860,Hultsfred,1800,0.18,7,24,20.8,4.0
2014-07-24,2014,1984,Arboga,50,0.005,7,24,19.8,4.0
2014-07-24,2014,1421,Orust,550,0.055,7,24,20.52,4.4
2014-07-25,2014,1290,Kristianstad,500,0.05,7,25,20.207692307692305,4.153846153846154
2014-07-25,2014,1402,Partille,1,0.0001,7,25,21.8,4.0
2014-07-25,2014,182,Nacka,400,0.04,7,25,38.0,6.0
2014-07-25,2014,181,Södertälje,15,0.0015,7,25,36.1,5.8
2014-07-25,2014,2582,Boden,30000,3.0,7,25,22.447222222222223,4.611111111111111
2014-07-25,2014,117,Österåker,150,0.015,7,25,26.18,4.8
2014-07-26,2014,1283,Helsingborg,1,0.0001,7,26,22.4,4.5
2014-07-26,2014,1980,Västerås,100,0.01,7,26,29.08888888888889,5.555555555555555
2014-07-26,2014,1880,Örebro,1,0.0001,7,26,29.25,5.785714285714286
2014-07-26,2014,125,Ekerö,10,0.001,7,26,37.75,5.5
2014-07-26,2014,860,Hultsfred,1800,0.18,7,26,21.869999999999997,4.4
2014-07-26,2014,2284,Örnsköldsvik,3500,0.35,7,26,21.750819672131147,4.524590163934426
2014-07-26,2014,1780,Karlstad,1,0.0001,7,26,24.184615384615384,4.923076923076923
2014-07-29,2014,181,Södertälje,1,0.0001,7,29,21.3,4.4
2014-08-01,2014,1784,Arvika,400,0.04,8,1,25.1375,5.0
2014-08-02,2014,1415,Stenungsund,5,0.0005,8,2,21.0,4.0
2014-08-02,2014,1441,Lerum,2,0.0002,8,2,22.85,5.0
2014-08-03,2014,560,Boxholm,200,0.02,8,3,27.05,5.166666666666667
2014-08-04,2014,581,Norrköping,7500,0.75,8,4,21.8375,4.3125
