Date,index,Municipality,FWI,FWI_index
2020-04-06,1162217,586,17.880000000000003,4.0
2020-04-06,1162259,1231,17.3,4.0
2020-04-06,1162263,1260,19.7,4.0
2020-04-06,1162275,1277,22.5,5.0
2020-04-07,1162486,512,19.583333333333332,4.0
2020-04-07,1162487,513,23.73,5.0
2020-04-07,1162488,560,20.71666666666667,4.166666666666667
2020-04-07,1162489,561,23.016666666666666,5.0
2020-04-07,1162491,563,21.657142857142855,4.571428571428571
2020-04-07,1162492,580,22.766666666666666,4.583333333333333
2020-04-07,1162494,582,22.47142857142857,4.714285714285714
2020-04-07,1162497,586,23.740000000000002,4.8
2020-04-07,1162510,687,19.825,4.0
2020-04-07,1162523,861,22.016666666666666,4.333333333333333
2020-04-07,1162525,880,19.12727272727273,4.0
2020-04-07,1162526,881,21.6125,4.25
2020-04-07,1162528,883,21.2,4.318181818181818
2020-04-07,1162529,884,20.59,4.2
2020-04-07,1162538,1230,17.6,4.0
2020-04-07,1162543,1260,17.45,4.0
2020-04-07,1162545,1263,18.3,4.0
2020-04-07,1162551,1272,19.6,4.0
2020-04-07,1162555,1277,17.8,4.0
2020-04-07,1162558,1281,18.525,4.0
2020-04-07,1162589,1444,17.950000000000003,4.0
2020-04-07,1162602,1472,20.75,4.0
2020-04-07,1162620,1497,20.15,4.25
2020-04-08,1162777,586,20.46,4.4
2020-04-08,1162790,687,18.325,4.0
2020-04-08,1162869,1444,21.6,4.5
2020-04-08,1162870,1445,21.35,4.5
2020-04-08,1162880,1470,22.02857142857143,4.571428571428571
2020-04-08,1162882,1472,20.35,4.0
2020-04-08,1162898,1495,19.133333333333333,4.0
2020-04-08,1162900,1497,18.775,4.25
2020-04-08,1162926,1881,17.8,4.0
2020-04-08,1162933,1960,20.15,4.0
2020-04-09,1163039,481,18.5,4.0
2020-04-09,1163047,513,19.09,4.0
2020-04-09,1163048,560,18.983333333333334,4.0
2020-04-09,1163049,561,18.55,4.0
2020-04-09,1163054,582,19.400000000000002,4.0
2020-04-09,1163057,586,20.5,4.0
2020-04-09,1163070,687,18.2,4.0
2020-04-09,1163097,1214,19.566666666666666,4.0
2020-04-09,1163098,1230,20.8,4.0
2020-04-09,1163099,1231,18.0,4.0
2020-04-09,1163103,1260,18.7,4.0
2020-04-09,1163105,1263,19.9,4.0
2020-04-09,1163107,1265,19.22,4.0
2020-04-09,1163110,1270,18.6,4.0
2020-04-09,1163111,1272,18.3,4.0
2020-04-09,1163115,1277,20.5,4.0
2020-04-09,1163118,1281,20.9,4.25
2020-04-09,1163122,1285,20.45,4.0
2020-04-09,1163213,1960,19.65,4.0
2020-04-11,1163766,1881,17.4,4.0
2020-04-12,1163950,1270,18.5,4.0
