Date,index,Municipality,FWI,FWI_index
2017-04-10,856511,1272,17.8,4.0
2017-04-11,856726,512,19.783333333333335,4.166666666666667
2017-04-11,856727,513,19.080000000000002,4.0
2017-04-11,856759,821,23.099999999999998,4.714285714285714
2017-04-11,856762,860,25.869999999999997,5.3
2017-04-11,856763,861,24.150000000000002,4.666666666666667
2017-04-11,856765,880,20.436363636363637,4.090909090909091
2017-04-11,856766,881,19.275,4.0
2017-04-11,856767,882,24.245454545454546,4.636363636363637
2017-04-11,856768,883,20.34090909090909,4.181818181818182
2017-04-11,856769,884,24.16,5.0
2017-04-22,859780,163,17.8,4.0
2017-04-22,859781,180,18.0,4.0
2017-04-22,859910,1445,18.55,4.0
2017-04-22,859920,1470,20.428571428571427,4.0
2017-04-22,860003,2182,21.65833333333333,4.583333333333333
2017-04-22,860004,2183,19.486666666666668,4.066666666666666
2017-05-03,862913,763,19.34,4.0
2017-05-03,862922,860,22.16,4.4
2017-05-03,862932,1060,19.333333333333332,4.0
2017-05-03,862934,1081,19.575,4.0
2017-05-03,862941,1256,18.36,4.0
2017-05-03,862955,1277,20.1,4.0
2017-05-04,863186,683,21.536363636363635,4.363636363636363
2017-05-04,863188,685,20.315384615384616,4.076923076923077
2017-05-04,863191,760,20.599999999999998,4.0
2017-05-04,863192,761,23.075,4.75
2017-05-04,863193,763,27.419999999999998,5.5
2017-05-04,863194,764,23.55,4.625
2017-05-04,863195,765,23.214285714285715,4.571428571428571
2017-05-04,863197,780,23.92142857142857,4.785714285714286
2017-05-04,863198,781,20.341176470588238,4.117647058823529
2017-05-04,863199,821,20.75714285714286,4.285714285714286
2017-05-04,863200,834,24.4,5.0
2017-05-04,863201,840,20.1,4.1
2017-05-04,863202,860,22.57,4.6
2017-05-04,863204,862,22.87142857142857,4.714285714285714
2017-05-04,863205,880,20.818181818181817,4.2727272727272725
2017-05-04,863206,881,20.4375,4.0
2017-05-04,863212,1060,28.766666666666666,5.666666666666667
2017-05-04,863213,1080,26.29090909090909,5.2727272727272725
2017-05-04,863214,1081,31.5625,5.75
2017-05-04,863215,1082,30.8,5.833333333333333
2017-05-04,863216,1083,25.666666666666668,5.333333333333333
2017-05-04,863217,1214,19.133333333333333,4.0
2017-05-04,863218,1230,17.8,4.0
2017-05-04,863219,1231,18.8,4.0
2017-05-04,863221,1256,25.639999999999997,5.0
2017-05-04,863222,1257,19.65,4.0
2017-05-04,863223,1260,21.65,4.5
2017-05-04,863225,1263,19.200000000000003,4.0
2017-05-04,863226,1264,18.35,4.0
2017-05-04,863227,1265,18.660000000000004,4.0
2017-05-04,863229,1267,18.9,4.0
2017-05-04,863231,1272,32.9,6.0
2017-05-04,863232,1273,23.98,4.8
2017-05-04,863233,1275,19.3,4.0
2017-05-04,863234,1276,21.325,4.5
2017-05-04,863235,1277,25.2,5.0
2017-05-04,863238,1281,18.425,4.0
2017-05-04,863242,1285,19.15,4.0
