,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
74,2000,2000-05-17,1490,Borås,5000,0.5,5,17,9.644444444444444,2.888888888888889
75,2000,2000-05-18,2361,Härjedalen,200,0.02,5,18,12.330208333333333,3.0729166666666665
76,2000,2000-05-18,2303,Ragunda,10,0.001,5,18,11.745454545454544,2.9545454545454546
77,2000,2000-05-19,1233,Vellinge,3,0.0003,5,19,7.2,2.6666666666666665
78,2000,2000-05-20,2305,Bräcke,1,0.0001,5,20,8.438709677419356,2.870967741935484
79,2000,2000-05-21,482,Flen,3,0.0003,5,21,7.8125,2.75
80,2000,2000-05-21,1488,Trollhättan,5000,0.5,5,21,14.5,3.0
81,2000,2000-05-21,581,Norrköping,3000,0.3,5,21,12.0625,3.0
82,2000,2000-05-22,486,Strängnäs,100,0.01,5,22,4.8,2.142857142857143
83,2000,2000-05-22,1480,Göteborg,10,0.001,5,22,7.74,2.6
84,2000,2000-05-23,1280,Malmö,8,0.0008,5,23,12.266666666666666,3.0
85,2000,2000-05-27,884,Vimmerby,625,0.0625,5,27,10.25,2.9
86,2000,2000-05-29,126,Huddinge,1,0.0001,5,29,13.8,3.0
87,2000,2000-05-30,1283,Helsingborg,50,0.005,5,30,3.2,2.0
88,2000,2000-05-31,763,Tingsryd,150,0.015,5,31,3.47,2.0
89,2000,2000-05-31,382,Östhammar,4,0.0004,5,31,0.05555555555555555,0.7777777777777778
90,2000,2000-05-31,181,Södertälje,1,0.0001,5,31,0.5,1.0
91,2000,2000-06-01,586,Mjölby,1,0.0001,6,1,9.540000000000001,3.0
92,2000,2000-06-01,580,Linköping,1,0.0001,6,1,9.299999999999999,3.0
93,2000,2000-06-01,180,Stockholm,4,0.0004,6,1,4.5,2.0
94,2000,2000-06-01,2582,Boden,800,0.08,6,1,3.2333333333333334,1.7777777777777777
95,2000,2000-06-03,484,Eskilstuna,2,0.0002,6,3,3.091666666666667,2.0
96,2000,2000-06-03,861,Mönsterås,3750,0.375,6,3,11.271428571428572,3.0
97,2000,2000-06-03,1446,Karlsborg,50,0.005,6,3,2.025,2.0
98,2000,2000-06-04,582,Söderköping,15000,1.5,6,4,9.957142857142857,2.7142857142857144
99,2000,2000-06-05,563,Valdemarsvik,1000,0.1,6,5,10.125,2.75
100,2000,2000-06-05,580,Linköping,1,0.0001,6,5,9.791666666666666,3.0
101,2000,2000-06-05,136,Haninge,2,0.0002,6,5,5.288888888888889,2.3333333333333335
102,2000,2000-06-06,180,Stockholm,1,0.0001,6,6,15.25,3.0
103,2000,2000-06-06,480,Nyköping,2,0.0002,6,6,11.633333333333333,2.75
104,2000,2000-06-10,1380,Halmstad,1,0.0001,6,10,10.89,3.0
105,2000,2000-06-11,1480,Göteborg,1,0.0001,6,11,5.34,2.2
106,2000,2000-06-11,120,Värmdö,10,0.001,6,11,4.95,1.875
107,2000,2000-06-13,1814,Lekeberg,1000,0.1,6,13,11.05,3.0
108,2000,2000-06-13,1860,Laxå,1000,0.1,6,13,7.933333333333334,2.8333333333333335
109,2000,2000-06-13,482,Flen,5000,0.5,6,13,14.425,3.0
110,2000,2000-06-13,2080,Falun,200,0.02,6,13,12.894736842105264,3.0
111,2000,2000-06-13,580,Linköping,1,0.0001,6,13,16.966666666666665,3.4166666666666665
112,2000,2000-06-14,580,Linköping,10,0.001,6,14,23.508333333333336,4.833333333333333
113,2000,2000-06-14,1380,Halmstad,2,0.0002,6,14,8.85,2.9
114,2000,2000-06-17,2180,Gävle,50,0.005,6,17,3.675,2.0
115,2000,2000-06-18,136,Haninge,10,0.001,6,18,11.555555555555555,3.0
116,2000,2000-06-18,683,Värnamo,20,0.002,6,18,11.281818181818181,3.0
117,2000,2000-06-19,120,Värmdö,60,0.006,6,19,7.4125,1.875
118,2000,2000-06-19,683,Värnamo,3000,0.3,6,19,13.827272727272726,3.0
119,2000,2000-06-19,680,Jönköping,20,0.002,6,19,12.414285714285715,3.0
120,2000,2000-06-19,319,Älvkarleby,100,0.01,6,19,21.133333333333333,4.333333333333333
121,2000,2000-06-20,180,Stockholm,2,0.0002,6,20,13.0,3.0
122,2000,2000-06-20,580,Linköping,1,0.0001,6,20,17.966666666666665,3.75
123,2000,2000-06-21,2521,Pajala,15,0.0015,6,21,6.394666666666667,2.453333333333333
124,2000,2000-06-21,1489,Alingsås,30,0.003,6,21,5.0200000000000005,2.4
