Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2009-04-25,2009,883,Västervik,1,0.0001,4,25,21.736363636363635,4.5
2009-04-25,2009,1440,Ale,5500000,550.0,4,25,19.35,4.0
2009-04-25,2009,861,Mönsterås,150,0.015,4,25,20.32857142857143,4.142857142857143
2009-04-25,2009,685,Vetlanda,50,0.005,4,25,21.846153846153847,4.615384615384615
2009-04-26,2009,580,Linköping,10000,1.0,4,26,19.083333333333332,4.0
2009-04-26,2009,763,Tingsryd,10,0.001,4,26,25.169999999999998,4.9
2009-04-26,2009,180,Stockholm,1,0.0001,4,26,33.2,6.0
2009-04-27,2009,1463,Mark,110000,11.0,4,27,22.97142857142857,4.714285714285714
2009-04-30,2009,180,Stockholm,1,0.0001,4,30,23.3,5.0
2009-04-30,2009,1382,Falkenberg,20,0.002,4,30,21.2,4.5
2009-05-01,2009,1060,Olofström,100,0.01,5,1,28.933333333333334,5.666666666666667
2009-05-01,2009,180,Stockholm,5,0.0005,5,1,23.15,5.0
2009-05-02,2009,180,Stockholm,2,0.0002,5,2,31.25,6.0
2009-05-02,2009,1430,Munkedal,300,0.03,5,2,25.5,5.0
2009-05-02,2009,1885,Lindesberg,30000,3.0,5,2,28.474999999999998,5.666666666666667
2009-05-02,2009,883,Västervik,3,0.0003,5,2,19.849999999999998,4.136363636363637
2009-05-02,2009,182,Nacka,2,0.0002,5,2,23.6,5.0
2009-05-02,2009,683,Värnamo,4000,0.4,5,2,22.79090909090909,4.7272727272727275
2009-05-02,2009,486,Strängnäs,30,0.003,5,2,24.32857142857143,4.857142857142857
2009-05-03,2009,486,Strängnäs,10,0.001,5,3,23.114285714285717,4.428571428571429
2009-05-03,2009,180,Stockholm,3,0.0003,5,3,24.8,5.0
2009-05-03,2009,180,Stockholm,2,0.0002,5,3,24.8,5.0
2009-05-03,2009,484,Eskilstuna,2,0.0002,5,3,22.858333333333334,4.583333333333333
2009-05-03,2009,127,Botkyrka,50,0.005,5,3,20.9,4.0
2009-05-03,2009,1495,Skara,5,0.0005,5,3,21.400000000000002,4.333333333333333
2009-05-03,2009,1980,Västerås,1,0.0001,5,3,19.555555555555557,4.222222222222222
2009-05-08,2009,180,Stockholm,5,0.0005,5,8,28.6,5.5
2009-05-09,2009,2181,Sandviken,2,0.0002,5,9,22.71,4.7
2009-05-13,2009,126,Huddinge,1,0.0001,5,13,18.2,4.0
2009-05-15,2009,180,Stockholm,1,0.0001,5,15,35.400000000000006,6.0
2009-05-16,2009,125,Ekerö,1,0.0001,5,16,25.675,5.0
2009-05-16,2009,180,Stockholm,2,0.0002,5,16,26.8,5.0
2009-05-17,2009,461,Gnesta,1500,0.15,5,17,20.25,4.25
2009-05-18,2009,2403,Bjurholm,50,0.005,5,18,18.61,4.0
2009-05-27,2009,180,Stockholm,10,0.001,5,27,44.349999999999994,6.0
2009-05-27,2009,117,Österåker,1000,0.1,5,27,22.28,4.4
2009-05-27,2009,192,Nynäshamn,100,0.01,5,27,25.080000000000002,5.0
2009-06-01,2009,2581,Piteå,150,0.015,6,1,24.145454545454545,4.606060606060606
2009-06-01,2009,1482,Kungälv,150,0.015,6,1,18.8,4.0
2009-06-01,2009,2281,Sundsvall,10,0.001,6,1,21.60909090909091,4.363636363636363
2009-06-24,2009,880,Kalmar,4,0.0004,6,24,23.29090909090909,4.545454545454546
2009-06-26,2009,126,Huddinge,1,0.0001,6,26,20.5,4.0
2009-06-26,2009,180,Stockholm,10000,1.0,6,26,22.85,4.5
2009-06-26,2009,1480,Göteborg,10,0.001,6,26,21.5,4.2
2009-06-26,2009,1382,Falkenberg,100,0.01,6,26,22.669999999999998,4.6
2009-06-27,2009,761,Lessebo,150,0.015,6,27,24.925,5.0
2009-06-28,2009,1452,Tranemo,2,0.0002,6,28,21.2875,4.125
2009-06-28,2009,685,Vetlanda,400,0.04,6,28,22.076923076923077,4.538461538461538
2009-06-28,2009,781,Ljungby,1000,0.1,6,28,21.923529411764704,4.411764705882353
2009-06-28,2009,560,Boxholm,4,0.0004,6,28,20.883333333333333,4.166666666666667
2009-06-29,2009,191,Sigtuna,1,0.0001,6,29,23.3,4.666666666666667
2009-06-29,2009,1765,Årjäng,1500,0.15,6,29,20.958823529411767,4.294117647058823
2009-06-29,2009,180,Stockholm,300,0.03,6,29,36.8,6.0
2009-06-29,2009,1496,Skövde,4,0.0004,6,29,26.52857142857143,5.0
2009-06-30,2009,2505,Arvidsjaur,100,0.01,6,30,29.714285714285715,5.795918367346939
2009-07-03,2009,1415,Stenungsund,100,0.01,7,3,23.5,4.5
2009-07-04,2009,2409,Robertsfors,100,0.01,7,4,23.366666666666664,4.75
2009-07-04,2009,1485,Uddevalla,3,0.0003,7,4,24.05,4.5
2009-07-04,2009,1485,Uddevalla,3,0.0003,7,4,24.05,4.5
2009-08-08,2009,2523,Gällivare,60,0.006,8,8,19.10719424460432,4.079136690647482
2009-08-10,2009,127,Botkyrka,10,0.001,8,10,19.9,4.0
