Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2017-05-14,2017,486,Strängnäs,100,0.01,5,14,21.37142857142857,4.571428571428571
2017-05-21,2017,163,Sollentuna,1,0.0001,5,21,19.2,4.0
2017-05-22,2017,1060,Olofström,80,0.008,5,22,22.03333333333333,4.666666666666667
2017-05-22,2017,182,Nacka,2,0.0002,5,22,24.6,5.0
2017-05-22,2017,120,Värmdö,10000,1.0,5,22,19.875,4.0
2017-05-23,2017,163,Sollentuna,30,0.003,5,23,20.8,4.0
2017-05-24,2017,180,Stockholm,1,0.0001,5,24,18.25,4.0
2017-05-25,2017,182,Nacka,1,0.0001,5,25,21.5,4.0
2017-05-25,2017,684,Sävsjö,5500,0.55,5,25,21.849999999999998,4.5
2017-05-26,2017,483,Katrineholm,1600,0.16,5,26,21.82,4.5
2017-05-26,2017,512,Ydre,100,0.01,5,26,19.900000000000002,4.0
2017-05-26,2017,182,Nacka,10,0.001,5,26,22.5,5.0
2017-05-27,2017,180,Stockholm,5,0.0005,5,27,28.35,5.5
2017-05-27,2017,180,Stockholm,1,0.0001,5,27,28.35,5.5
2017-05-27,2017,1880,Örebro,10,0.001,5,27,27.07857142857143,5.357142857142857
2017-05-28,2017,581,Norrköping,4,0.0004,5,28,30.53125,5.5625
2017-05-28,2017,562,Finspång,1000,0.1,5,28,25.566666666666666,5.0
2017-05-28,2017,191,Sigtuna,5,0.0005,5,28,32.03333333333333,6.0
2017-05-28,2017,480,Nyköping,1200,0.12,5,28,31.681818181818183,5.636363636363637
2017-05-28,2017,880,Kalmar,1,0.0001,5,28,34.627272727272725,5.909090909090909
2017-05-29,2017,191,Sigtuna,2,0.0002,5,29,25.266666666666666,5.0
2017-06-18,2017,140,Nykvarn,600,0.06,6,18,25.03333333333333,4.666666666666667
2017-06-21,2017,483,Katrineholm,50,0.005,6,21,21.73,4.4
2017-06-30,2017,1765,Årjäng,4500,0.45,6,30,28.08235294117647,5.411764705882353
2017-06-30,2017,2083,Hedemora,10,0.001,6,30,28.05,5.5
2017-06-30,2017,1784,Arvika,300,0.03,6,30,24.7875,4.875
2017-06-30,2017,484,Eskilstuna,30,0.003,6,30,32.266666666666666,6.0
2017-07-03,2017,1493,Mariestad,5000,0.5,7,3,24.508333333333336,5.0
2017-07-03,2017,1492,Åmål,20,0.002,7,3,24.6875,5.125
2017-07-06,2017,486,Strängnäs,1,0.0001,7,6,22.3,4.571428571428571
2017-07-12,2017,1980,Västerås,1,0.0001,7,12,20.655555555555555,4.333333333333333
2017-07-13,2017,115,Vallentuna,400,0.04,7,13,20.95,4.25
2017-07-14,2017,181,Södertälje,15,0.0015,7,14,23.22,4.8
2017-07-15,2017,192,Nynäshamn,1,0.0001,7,15,19.22,4.0
2017-07-17,2017,127,Botkyrka,900,0.09,7,17,28.4,6.0
2017-07-18,2017,180,Stockholm,1,0.0001,7,18,26.0,5.0
2017-07-18,2017,180,Stockholm,200,0.02,7,18,26.0,5.0
2017-07-18,2017,1980,Västerås,1,0.0001,7,18,23.566666666666666,4.777777777777778
2017-07-19,2017,180,Stockholm,2,0.0002,7,19,24.299999999999997,5.0
2017-07-19,2017,381,Enköping,30,0.003,7,19,21.211111111111112,4.555555555555555
2017-07-20,2017,480,Nyköping,10,0.001,7,20,22.918181818181818,4.636363636363637
2017-07-22,2017,1494,Lidköping,3,0.0003,7,22,19.25,4.1
2017-07-22,2017,480,Nyköping,5,0.0005,7,22,22.009090909090908,4.545454545454546
2017-07-23,2017,192,Nynäshamn,2,0.0002,7,23,26.26,5.2
2017-07-23,2017,126,Huddinge,1,0.0001,7,23,23.9,5.0
2017-07-23,2017,1485,Uddevalla,2,0.0002,7,23,24.95,5.0
2017-07-23,2017,1489,Alingsås,4000,0.4,7,23,25.22,4.8
2017-07-24,2017,1980,Västerås,1,0.0001,7,24,27.188888888888886,5.444444444444445
2017-07-24,2017,380,Uppsala,9,0.0009,7,24,20.178947368421053,4.105263157894737
2017-07-27,2017,125,Ekerö,40,0.004,7,27,24.475,5.0
2017-07-29,2017,139,Upplands-Bro,1,0.0001,7,29,18.5,4.0
2017-07-31,2017,1880,Örebro,50,0.005,7,31,18.607142857142858,4.0
2017-07-31,2017,381,Enköping,1,0.0001,7,31,32.68888888888889,5.888888888888889
2017-07-31,2017,483,Katrineholm,1,0.0001,7,31,30.410000000000004,5.7
2017-08-02,2017,180,Stockholm,1,0.0001,8,2,21.450000000000003,4.0
2017-08-03,2017,180,Stockholm,20,0.002,8,3,28.75,5.5
2017-08-03,2017,180,Stockholm,20,0.002,8,3,28.75,5.5
